Account,2024-04-05,2024-04-08,2024-05-03,2024-04-17,2024-05-10,2024-05-15,2024-05-08,2024-05-09,2024-05-20,Total Follows
BainCapVC,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
FHEOnchain,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
remi_gai,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
MarkToda,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
KakarotZkEvm,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
SteakhouseFi,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
KioskSocial,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
zerion,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
SebVentures,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ericaplanet,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
buidl_asia,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
HubSpot,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
bluechip_org,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0xAvious,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
cryptoian,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
ev3ventures,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
levitben,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
OKX_Ventures,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
IsolationistThe,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
deathereum,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Rkc6TO4DbV,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
MoneroMahesh,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
choobie3,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
SHL0MS,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
0xsmallbrain,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
elevenyellow,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
garettjones,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ssD7PqWmwL,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
isiain,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Dan_Jeffries1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
venmo,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
Braintree,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
eraqian,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
ohUHoMahvn,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Galaxyhq,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
lavanetxyz,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Phantom,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
daofive,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
ownsacomputer,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
besuper_ai,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0
mezonetwork,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
Tagomi,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Parcl,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
E89v7JQls0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
primitives_xyz,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
movingcastles_,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Pa2xZffGFo,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
celo,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
8vHwPUfj7E,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
n0tbydesign,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
jacek,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
RASmith481,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
alexdeclino,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
GmZqq1q7RI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
dJGr6LgzPA,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0
decryptmedia,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0
MetavestCapital,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
WalletConnect,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
blueyard,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
TM8CKG6WUp,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
HouseMedici,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
bitgetglobal,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
search?q=%24Kenidy&src=cashtag_click,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
0xbankisan,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
fS3qZXgl8h,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
tjIbq48RQH,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
verge,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
CISkU40oeF,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
search?q=%24PUNK&src=cashtag_click,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
dwellersX0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
voltrongo,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
SeiNetwork,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Midnight_Snykb,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
StrngeAttrctors,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Gabriel__Abed,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Mattberninger,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
sardine,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
freebsd,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
neworderdao,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
NRsI9xrbgO,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
zIQPogCCsK,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
RDmnu0BkaE,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
BZB_Capital,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Mitsuki3s_kir,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
dWalletNetwork,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
AbcM2jih,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
helloluis,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
tamawo222,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
ouzan_b,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
xwJgazXdgl,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Lg2Lo,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
zkPass,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
eatsleep1111,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Karan_patell1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
a4JtetfL0u,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
olEo0DAeFh,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
GXkAWdjzfw,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
yWU7xNbKqc,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
DownstreamGame,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0
PlaymintUK,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0
spiritdao,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
MattKunke,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
syfuofficial,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
ProtocolLabs,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
0xStackr,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
symbiogenesisPR,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
cxkoda,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
leftclickbuynft,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
underscoreX0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
moquN9Tm2q,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
web3_honey,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Blockdaemon,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
niraj,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
FantomFDN,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
level941,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
tG54ikHep5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
9cTVcgM8A7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
boo_tang_,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
AlexReibman,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
OpenPipeAI,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
AzukiJapan_IKZ,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
9UkWUH9qaB,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
graniph_nft,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
corbtt,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
TonPunks,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
zkshield_io,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
celiawan2,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
michaelbouhanna,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
w5FJpw28HC,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Fjvdb7,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
bergealex4,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
MyzTtMZXWR,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
artnews,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
xKgCejt1BQ,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
etereoio,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
EthereumThaila1,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
MakerDUX,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
ton_starter,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
sanlsrni,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
BWWLYEH7n0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
gomblegames,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Y11BRgvdy2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
shinkaitoroN,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
PeterSchiff,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
jo0XImL7TekhyO6,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
k8JGYzeKnK,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
justbillymays,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
mca84TG8lf,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
DLNewsInfo,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
DefiLlama,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
2Doz1ybOQm,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
q4aL6CpKPn,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1d328lsoEV,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
orCzHWd39T,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
JlP71MJqQa,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
vlwSdrhd4X,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
RoyBoy_illu,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
hongsung0819,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Obi_Money_,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
konkon_siomana,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
X35usGhhgW,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
a2VnvnhiKN,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
YAV1Kdqb51,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
OuzAltz,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
shinkaitoro,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Jiritsu_Network,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Ib5G6n78js,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
fa_niwa,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
pocchuness,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
kenidy_on_sol,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
kdjedg,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
8s6GEnyJyG,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
anduriltech,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
ekiekidonasan,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
BDiPDFSFys,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
maegbyeol,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
xITWa8pvNy,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
tookerkurlson,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
anshinmama,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
9IHFkkuCsA,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Lo_oyd,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
ForgotPlayland,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Z9Ddpq3PRA,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Bridge3_,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
the_agents_club,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
Honeycon_io,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
K3Gi5LbiTr,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
4Negqj35Hc,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
_piepew,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
E0FdbUJfpl,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
SrPetersETH,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
gkamikaze_d,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
5dK4mC60H5,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
BAYCJapan,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
8eee5paL1l,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
galeriemade,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
BqVof9vUZY,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
AoUSA0328,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
CHyRRjThgN,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Open_Builders,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
XZua7rDNVW,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
bozhangles,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
belle__sol,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
JunkIMG,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
search?q=%24TOOKER&src=cashtag_click,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
w9m2CJwb6Q,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
ShinkaiToro0702,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
HsakaTrades,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
fay_axl,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
GzNHESlhqg76784,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
The_Barrows,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
KakuKakurenb8,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
UBtek6yoq0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
NotablePepes,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
GorillArtist,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
EggFightClub,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Web3Girls_,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
yver__,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
DEAGLE_arbitrum,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
AmosMeiri,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
mJhEOfMtO0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
trevorjonesart,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
tUjGP0UyV4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
r1Njz1utJX,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
projectblanc_ch,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
rsJYrTP3ur,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
StackingDao,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
samantha_bohbot,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
search?q=%24G&src=cashtag_click,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
CryptoWhaleBot,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
5YZ63TyvgF,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
GCashOfficial,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Rockaway_x,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
sidequest_xyz,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
grigorev_art,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
alexlitreev,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
GenomesDAO,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
wiresandtrees,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
0xRivendell,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0
pdGKLusW7N,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0
compolabs,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0
nodemonste,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
ArshanKhanifar,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
erT4SckKGi,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
DeanEigenmann,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
vardaspace,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0
BETTEW3ST,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
degodsnft,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0
0xSiipro,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
MarwanRefaat,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Swaylend,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0
node_Cap,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
thebellcurvepod,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
ellebeecher,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
aldodepape,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
agentopsai,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Afrectz,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Sprkfi,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0
jpgstoreNFT,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
laurentCastell,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
nasa,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
NickyGee44,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
FilmRiseTV,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
JoshuaKushner,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
theboardtalks,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
lex_DAO,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
LaserDing,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
andy8052,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
truffle_hq,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
AInfiniteTV,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
boost_xyz,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
SpencerGuard,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0
vmny,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
zklabs,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Starpowerworld,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
PaladinsDao,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
icebergy_,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Metaplex,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
ThankYouX,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
teachpitch,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
staratlas,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
blakelockbrown,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
vacp2p,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
noble_gallery,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
redacted_noah,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0
carlosecgomes,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Mabqco8RQy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
LeonardoAi_,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
emceecoy_,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
