Account,2024-04-05,2024-04-08,2024-05-03,2024-04-17,2024-05-10,2024-05-15,2024-05-08,2024-05-09,2024-05-20,Total Follows
pumpdotfun,4.0,10.0,1.0,7.0,1.0,0.0,1.0,1.0,2.0,27.0
aztecnetwork,6.0,9.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,27.0
Blast_L2,7.0,9.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,27.0
Google,6.0,8.0,4.0,4.0,1.0,1.0,1.0,0.0,2.0,27.0
seedclubhq,6.0,8.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,26.0
aoTheComputer,8.0,7.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0,26.0
coinfund_io,7.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,26.0
jessepollak,7.0,10.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,26.0
cyberfund_,7.0,10.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,26.0
q5mHPJDobs,7.0,11.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,26.0
0xcity3,7.0,10.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,26.0
oakcurrency,7.0,10.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,26.0
shunkakinoki,7.0,11.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,26.0
nebrazkp,5.0,7.0,6.0,5.0,0.0,0.0,1.0,0.0,1.0,25.0
nounsdao,6.0,8.0,3.0,6.0,0.0,0.0,1.0,0.0,1.0,25.0
search?q=%24DEGEN&src=cashtag_click,7.0,11.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,25.0
meta,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,4.0,25.0
EclipseFND,5.0,7.0,1.0,4.0,0.0,0.0,1.0,0.0,7.0,25.0
AgoraDollar,6.0,9.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,25.0
fabric_vc,5.0,9.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,24.0
keoneHD,6.0,8.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,24.0
GCRClassic,4.0,5.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,24.0
yueko__,7.0,8.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,24.0
eawosikaa,1.0,6.0,6.0,6.0,0.0,1.0,1.0,0.0,3.0,24.0
NEARProtocol,6.0,10.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,24.0
